127.0.0.1 - - [29/Aug/2014:08:15:15 -0300] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:35:45 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:36:37 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:36:39 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:36:39 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:36:42 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:36:58 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1144
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:37:11 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=cad HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:37:24 -0300] "POST /Projeto_Java_SQL/usucontroller.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:37:36 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1496
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:43:47 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=cad HTTP/1.1" 200 612
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:44:04 -0300] "POST /Projeto_Java_SQL/usucontroller.do HTTP/1.1" 200 18
0:0:0:0:0:0:0:1 - - [29/Aug/2014:08:44:16 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [29/Aug/2014:09:45:17 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [29/Aug/2014:09:45:18 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [29/Aug/2014:09:45:19 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [29/Aug/2014:09:45:19 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [29/Aug/2014:09:45:19 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [29/Aug/2014:09:45:19 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 1850
