127.0.0.1 - - [05/Sep/2014:09:54:30 -0300] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:42 -0300] "GET /Projeto_Java_SQL/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:42 -0300] "GET /Projeto_Java_SQL/login.html HTTP/1.1" 200 6237
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:42 -0300] "GET /Projeto_Java_SQL/js/prefixfree.min.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:42 -0300] "GET /Projeto_Java_SQL/js/index.js HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:42 -0300] "GET /Projeto_Java_SQL/js/login.html HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:42 -0300] "GET /Projeto_Java_SQL/js/login.html HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:51 -0300] "POST /Projeto_Java_SQL/autcontroller.do HTTP/1.1" 200 7193
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:51 -0300] "GET /Projeto_Java_SQL/js/prefixfree.min.js HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:51 -0300] "GET /Projeto_Java_SQL/js/index.js HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [05/Sep/2014:09:54:55 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:15:33 -0300] "GET /Projeto_Java_SQL/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:15:41 -0300] "POST /Projeto_Java_SQL/autcontroller.do HTTP/1.1" 200 7193
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:15:45 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:15:47 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=cad HTTP/1.1" 200 7731
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:15:58 -0300] "POST /Projeto_Java_SQL/usucontroller.do HTTP/1.1" 200 6745
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:02 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 9310
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:07 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=alt&id=6 HTTP/1.1" 200 7775
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:14 -0300] "POST /Projeto_Java_SQL/usucontroller.do HTTP/1.1" 200 6745
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:20 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 9312
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:25 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=exc&id=6 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:25 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=lis HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:29 -0300] "GET /Projeto_Java_SQL/usucontroller.do?acao=cad HTTP/1.1" 200 7731
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:38 -0300] "GET /Projeto_Java_SQL/autcontroller.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Sep/2014:11:16:44 -0300] "POST /Projeto_Java_SQL/autcontroller.do HTTP/1.1" 200 7193
